codigo_curso,nombre_curso,catedratico,auxiliar
288,INTRODUCCION AL ESTUDIO DE IMPACTO AMBIENTAL,PABLO CESAR ANÍBAL SARAVIA SOLARES,xxx
390,TERMODINAMICA 1,ESDRAS FELICIANO MIRANDA OROZCO,xxx
7983,SEMINARIO DE INVESTIGACION E.P.S. MECANICA,EDWIN ESTUARDO SARCEÑO ZEPEDA,xxx
212,CONVERSION DE ENERGIA ELECTROMECANICA 1,JOSÉ LUIS MENDÓZA ALVARADO,xxx
214,MAQUINAS ELECTRICAS,JUAN CARLOS MORATAYA RAMOS,xxx
219,TRANSMISION Y DISTRIBUCION,EDGAR  ESTUARDO CHAJ  RAMIREZ,xxx
220,ANALISIS DE SISTEMAS DE POTENCIA 1,EDGAR  ESTUARDO CHAJ  RAMIREZ,xxx
224,ALTA TENSION,EDGAR  ESTUARDO CHAJ  RAMIREZ,xxx
238,AUTOMATIZACION INDUSTRIAL,SAUL CABEZAS DURAN,xxx
11,IDIOMA TECNICO 4,CARLOS LEONEL MUÑOZ LEMUS,LUIS PEDRO ZALDAÑA BRAVO
60,TALLER DE SIST DE INF GEOGRAFICA,WALTER ARNOLDO BARDALES ESPINOZA,xxx
73,DIBUJO TECNICO MECANICO,ESDRAS FELICIANO MIRANDA OROZCO,xxx
92,PROGRAMACION DE COMPUTADORAS 2,HERMAN IGOR VELIZ LINARES,xxx
120,MATEMATICA APLICADA 2,JOSE MARIA SAQUIMUX CANASTUJ,ANGEL REGINALDO CORDERO MELARA
122,MATEMATICA APLICADA 4,CARLOS AUGUSTO MORALES SANTACRUZ,DINO GABRIEL CHULUC ALVARADO
172,MECANICA ANALITICA 2,CALIXTO SANTIAGO MONTEAGUDO CORDERO,MAXEL ANTONI YONATHAN FAJARDO ESPINO
196,CALIDAD DEL AIRE,PABLO CESAR ANÍBAL SARAVIA SOLARES,xxx
198,CALIDAD DEL AGUA,JORGE MARIO ESTRADA ASTURIAS,xxx
201,INSTALACIONES ELECTRICAS (CIVIL),BRIAN  ENRIQUE CHICOL  MORALES,xxx
209,INSTALACION DE EQUIPOS ELECTRONICOS,ANA MARÍA NAVARRO  OROZCO,xxx
211,TEORIA ELECTROMAGNETICA 2,HELMUNT FEDERICO CHICOL CABRERA,xxx
213,CONVERSION DE ENERGIA ELECTROMECANICA 2,DANIEL DE JESUS VASQUEZ AGUILAR,xxx
216,SUBESTACIONES,JOSE GUILLERMO BEDOYA BARRIOS,xxx
221,SISTEMAS DE GENERACION,JORGE LUIS PEREZ RIVERA,xxx
222,PROTECCION DE SISTEMAS DE POTENCIA,ARMANDO GALVEZ CASTILLO,xxx
233,ELECTRONICA APLICADA 1,HECTOR FRANCISCO REYES FRANCO,xxx
239,ELECTRONICA APLICADA 2,WENDY NORA MIRANDA LOPEZ,xxx
241,RADIOCOMUNICACIONES TERRESTRES,HELMUNT FEDERICO CHICOL CABRERA,xxx
262,AGUAS SUBTERRANEAS,JOSE FERNANDO SAMAYOA ROLDAN,xxx
280,INGENIERIA SANITARIA 1,PEDRO ANTONIO AGUILAR POLANCO,MONICA ALEJANDRA TZUNUN BARRIENTOS
282,INGENIERIA SANITARIA 2,GUILLERMO FRANCISCO MELINI SALGUERO,xxx
284,SANEAMIENTO AMBIENTAL,WALTER ROLANDO SALAZAR GONZÁLEZ,GREISSY DEL CARMEN REYES RODAS
286,HIDRAULICA DE CANALES,LUIS MANUEL SANDOVAL MENDOZA,xxx
316,CONCRETO ARMADO 2,MARIO RODOLFO CORZO AVILA,xxx
320,CIMENTACIONES 2,LUIS ESTUARDO SARAVIA RAMIREZ,xxx
335,GESTION DE DESASTRES,OMAR GILBERTO FLORES BELTETON,xxx
346,METODOS DE CONSTRUCCION Y SUPERVISION DE OBRAS,OSWALDO JOSE OROZCO AREAS,xxx
368,PRINCIPIOS DE METROLOGIA,RAMIRO AUGUSTO SANTIZO GONZALEZ,xxx
370,QUIMICA AMBIENTAL,JAIME DOMINGO CARRANZA GONZALEZ,BELÉN ALEJANDRA SILVESTRE MONTEJO
396,TERMODINAMICA 4,ADOLFO NARCISO GRAMAJO ANTONIO,JUAN CARLOS MATAMOROS REYES
398,CINETICA DE PROCESOS QUIMICOS,ADOLFO NARCISO GRAMAJO ANTONIO,xxx
409,SEPARACION POR MEDIO DE MEMBRANAS SELECTIVAS,ANA GLORIA MONTES PEÑA,xxx
414,IQ-3 TRANSFERENCIA DE CALOR,JORGE EMILIO GODINEZ LEMUS,ERVIN HUMBERTO LÓPEZ DE LEÓN
416,IQ-4 TRANSFERENCIA DE MASA,WILLIAMS GUILLERMO ALVAREZ MEJIA,MARYORY ROSSEL ORELLANA
418,IQ-5 TRANSFERENCIA DE MASA EN UNIDADES CONTINUAS,KAREN NOELIA HERNÁNDEZ AVILA,xxx
421,GESTION TOTAL DE LA CALIDAD,DINNA LISSETTE ESTRADA MOREIRA DE ROSSAL,KARLA MARÍA CARRANZA MORALES
423,EXTRACCIONES INDUSTRIALES,MARIO JOSE MERIDA MERE,xxx
436,DISE\O DE EQUIPO,ORLANDO POSADAS VALDEZ,xxx
437,CONTROL DE CONTAMINANTES INDUSTRIALES,JORGE MARIO ESTRADA ASTURIAS,xxx
442,BIOINGENIERIA 1,HILDA PIEDAD PALMA RAMOS,xxx
472,TECNOLOGIA DE LOS ALIMENTOS,HILDA PIEDAD PALMA RAMOS,xxx
476,GEOLOGIA DEL PETROLEO,ALAN GIOVANI COSILLO PINTO,xxx
482,OPERACIONES Y PROCESOS EN LA INDUSTRIA FARMACEUTICA,DINNA LISSETTE ESTRADA MOREIRA DE ROSSAL,ANA CRISTINA DE LEÓN ESTRADA
486,DISE\O DE PLANTAS,ORLANDO POSADAS VALDEZ,xxx
511,MANTENIMIENTO DE HOSPITALES 1,BYRON GIOVANNI PALACIOS COLINDRES,xxx
512,INSTRUMENTACION MECANICA,CARLOS ANIBAL CHICOJAY COLOMA,xxx
524,DISE\O DE MAQUINAS 1,MILTON ALEXANDER FUENTES OROZCO,CARLOS ANTONIO CASTELLANOS IRUNGARAY
528,DISE\O DE MAQUINAS 3,MYNOR RODERICO FIGUEROA FUENTES,xxx
530,MECANISMOS,CARLOS ANIBAL CHICOJAY COLOMA,xxx
560,VIAS TERRESTRES 2,ESTUARDO JEREZ SANTOS,xxx
585,INGENIERIA DE TRANSITO Y TRANSPORTES,VICTOR VINICIO BARRIOS US,xxx
606,ANALISIS DE SISTEMAS INDUSTRIALES,JULIO  OSWALDO ROJAS  ARGUETA,xxx
644,INGENIERIA TEXTIL 1,NORA LEONOR GARCIA TOBAR,xxx
657,ADMINISTRACION DE EMPRESAS 2,ISMAEL HOMERO JEREZ GONZALEZ,xxx
661,MERCADOTECNIA 2,MARIA MARTHA WOLFORD E. DE HERNANDEZ,xxx
666,COSTOS PRESUPUESTOS Y AVALUOS,GUILLERMO FRANCISCO MELINI SALGUERO,GREISSY DEL CARMEN REYES RODAS
669,ECONOMIA INDUSTRIAL,JULIO  OSWALDO ROJAS  ARGUETA,xxx
702,INGENIERIA ECONOMICA 2,JOSE ANTONIO GRACIAS GONZALEZ,xxx
710,PLANEAMIENTO,ALEJANDRO CASTAÑON LOPEZ,xxx
712,URBANISMO,STAFF,xxx
769,INTRODUCCION A LA PROGRAMACION DE COMPUTADORAS,JOSE ANIBAL SILVA DE LOS ANGELES,xxx
787,SISTEMAS ORGANIZACIONALES Y GERENCIALES 2,MARIO JOSE BAUTISTA FUENTES,xxx
975,REDES DE COMPUTADORAS 2,ALLAN ALBERTO MORATAYA GÓMEZ,xxx
991,LENGUAJES DE PROGRAMACION APLICADOS A I.E.,SERGIO LEONEL GOMEZ BRAVO,xxx
1025,DIPLOMADO EN ADMINISTRACION DE LA CALIDAD,PABLO RENÉ LEÓN MARQUEZ,xxx
1034,DIPLOMADO EN ADMINISTRACION DE LA CALIDAD EN LA INDUSTRIA ALIMENTICIA,ANA PAOLA MÉNDEZ DE LEÓN,xxx
1056,DIPLOMADO SEGURIDAD INDUSTRIAL Y SALUD OCUPACIONAL,BRENDA IZABEL MIRANDA CONSUEGRA,xxx
1060,DIPLOMADO CADENA DE SUMISTROS,BRENDA IZABEL MIRANDA CONSUEGRA,xxx
1065,DIPLOMADO ADMINISTRACION Y COMPETENCIAS,JORGE ALEJANDRO AREVALO VALDEZ,xxx
